"拼音排序","編號","詞彙","拼音","等級","詞類","英文解釋"
1089,"1074","呼吸","hūxī ","I","(VA)","breathe, respire"
1095,"0185","互助","hùzhù ","I","(VA)","help each other"
1099,"1241","花費","huāfèi ","I","(VA)","spend,expend"
1104,"0609","划","huá ","I","(VA)","delimit, differentiate, transfer, assign, plan, draw, mark"
1105,"2564","滑","huá ","I","(VA)","slip, slide"
1109,"0220","化","huà ","I","(VA)","to change, to convert, to transform, to influence"
1113,"0223","化裝","huàzhuāng ","I","(VA)","disguise oneself"
1114,"0221","化妝","huàzhuāng ","I","(VA)","apply make-up"
1116,"3323","懷孕","huáiyùn ","I","(VA)","be pregnant"
1119,"3410","歡呼","huānhū ","I","(VA)","hail, acclaim"
1123,"3014","緩和","huănhé ","I","(VA)","relax, ease up, mitigate, appease"
1126,"0263","幻想","huànxiăng ","I","(VA)","imagine, daydream, fantasticate, fancify, dream, fancy, fantasize"
1131,"2251","揮","huī ","I","(VA)","wave, brandish, wipe off/away, command (an army), squander (money/etc.)"
1136,"0652","回","huí ","I","(VA)","reply, answer"
1137,"0657","回電","huídiàn ","I","(VA)","wire back"
1139,"0653","回收","huíshōu ","I","(VA)","recycle"
1140,"0659","回頭","huítóu ","I","(VA)","turn one's head, turn round"
1141,"0656","回想","huíxiăng ","I","(VA)","think back, recollect, recall"
1142,"0654","回信","huíxìn ","I","(VA)","reply (letter)"
1146,"2478","匯款","huìkuăn ","I","(VA)","make a remittence, remit"
1152,"2027","混","hùn ","I","(VA)","mix"
1153,"2028","混合","hùnhé ","I","(VA)","mix, blend, mingle"
1185,"2431","集","jí ","I","(VA)","gather, collect"
1189,"2434","集合","jíhé  ","I","(VA)","gather, assemble, muster"
1196,"2435","集郵","jíyóu  ","I","(VA)","collect stamps"
1198,"2433","集中","jízhōng  ","I","(VA)","centralize, put together"
1201,"1772","記錄","jìlù ","I","(VA)","record, note"
1207,"1505","計算","jìsuàn  ","I","(VA)","count, calculate, compute"
1210,"1770","記憶","jìyì ","I","(VA)","memory"
1212,"1769","記載","jìzăi ","I","(VA)","put down in writing, record"
1216,"0394","加班","jiābān ","I","(VA)","work overtime, work extra shift"
1217,"0390","加工","jiāgōng ","I","(VA)","process"
1218,"0395","加強","jiāqiáng ","I","(VA)","strengthen, augment, reinforce"
1219,"0388","加入","jiārù ","I","(VA)","add, mix, put in"
1220,"0396","加速","jiāsù ","I","(VA)","speed up, accelerate, haste"
1221,"0389","加上","jiāshàng ","I","(VA)","add into"
1225,"0392","加油","jiāyóu ","I","(VA)","refuel"
1228,"0889","夾","jiá ","I","(VA)","pincers, folder"
1231,"1846","假裝","jiăzhuāng ","I","(VA)","pretend, feign, simulate"
1232,"2484","嫁","jià ","I","(VA)","marry (of a woman)"
